,x1,y1,x2,y2,x3,y3,mean Cd 200,mean Cd 400,mean Cd 600
52,15,21,23,15,21,21,0.0063620258220000005,0.008985460343,0.006219181197999999
53,17,23,15,17,23,25,0.009990343121999999,0.019438504356000003,0.009147626135
54,15,25,19,19,25,23,0.006732546474999999,0.014711286503,0.007567308288
55,19,21,19,15,25,21,0.007202124639,0.0052760562850000005,0.022095951205999997
56,19,23,25,15,21,23,0.012614869454000002,0.0035567032670000007,0.00923459052
57,15,23,17,17,21,23,0.007606643295,0.0042254130069999995,0.006551497109
58,17,25,21,19,25,21,0.0069911405139999995,0.021819680354,0.015609618349
59,19,21,23,17,25,25,0.010324425487,0.0037836640929999996,0.008173879651
60,15,23,19,17,23,23,0.006892080626,0.014168665688000001,0.0037172843540000003
61,17,25,19,19,21,25,0.008065356222000001,0.021245982307,0.0071851592
62,19,25,19,17,25,21,0.013153839597,0.008170932055,0.0013809463916363636
63,17,23,17,15,21,23,0.013800201,0.005117731907999999,0.007145620563
64,19,23,19,19,23,25,0.006948790304,0.013424444750999999,0.007113743586
65,15,25,19,19,23,25,0.00686111628,0.026346535616000002,0.022064170808
66,15,25,15,19,23,23,0.007575232969,0.007178662515999999,0.013422737635000001
67,17,25,25,17,23,23,0.011466440241,0.017422835948,0.0026735548483000004
68,15,23,17,15,25,23,0.011367088716,0.015356450727,0.024922851229999998
69,17,25,19,15,23,21,0.021869594137,0.007425607123,0.006955847489
70,15,25,17,15,25,23,0.02028762788,0.01117991106,0.020624821284
71,17,25,19,15,23,25,0.020452963330000004,0.010586050807,0.007923087536
72,19,21,15,15,21,21,0.007160291556999999,0.018982121667,0.016095878585
73,17,23,21,19,25,23,0.0036790772930000003,0.013791871798999999,0.009526301343
74,15,23,17,15,23,25,0.015206261306,0.014479477511,0.0014249315969162997
75,17,23,19,17,25,23,0.006965743125000001,0.003944599880200001,0.014986331193
76,15,21,23,15,21,23,0.008648127677,0.007258213373,0.0034909745373
77,17,21,17,15,21,21,0.00799522061,0.006986408403,0.012680569447999999
78,15,25,23,15,21,23,0.019763841919999997,0.013643441375999998,0.0015443404573732716
79,19,23,19,15,23,23,0.013536770884,0.011567263830999997,0.0071392895559999996
80,19,21,21,19,25,23,0.0031697306350000004,0.0042791341439,0.014527844625
81,15,25,21,17,25,25,0.010702212011,0.0031763862314,0.007305910321999999
82,19,21,17,15,21,21,0.007979295366,0.009572861607,0.005102911883999999
