u	angle	cd	cl
44.5	13.5	0.20475940772999998	0.91753122979
44.5	14.0	0.15861939140999998	0.83027083241
44.5	14.5	0.08891601419	1.0557712496
44.5	15.0	0.22567376856999996	0.7485557424600001
45.0	0.0	0.009062637977799999	0.0015331662576
45.0	0.5	0.009078509737399999	0.061507640272
45.0	1.0	0.0087104265796	0.09752714450099999
45.0	1.5	0.009155198390700002	0.13495425450999998
45.0	2.0	0.0092417812093	0.19606726904
45.0	2.5	0.0084262538686	0.2282163194
45.0	3.0	0.0094411566505	0.30561356355999997
45.0	3.5	0.009483944238799998	0.36429468338
45.0	4.0	0.0096911457103	0.41612258335
45.0	4.5	0.009855780831000001	0.46831572243
45.0	5.0	0.010237123545	0.51760976455
45.0	5.5	0.010413767212	0.58320974763
45.0	6.0	0.010883337553999999	0.6197999120100001
45.0	6.5	0.011566190564999999	0.66596406191
45.0	7.0	0.011958148526	0.72771908794
45.0	7.5	0.012612620602	0.76039886951
45.0	8.0	0.013933795345999998	0.79094228515
45.0	8.5	0.016196402675000002	0.83303747542
45.0	9.0	0.016433867426	0.8716505874299999
45.0	9.5	0.017347534154	0.9200400084200001
45.0	10.0	0.018042023074	0.9717952499600001
45.0	10.5	0.019572653129	1.0251010695
45.0	11.0	0.023957083602999998	1.0269504663
45.0	11.5	0.022207420210000002	1.1007032612
45.0	12.0	0.028569162454	1.1043060496
45.0	12.5	0.032046452776	1.1356842665
45.0	13.0	0.042150621438999995	1.1294090006
45.0	13.5	0.11417369395	1.0149995540999999
45.0	14.0	0.058644049896	1.176089693
45.0	14.5	0.073207884704	1.2131945508
45.0	15.0	0.11114211987	0.36046328335999994
45.5	0.0	0.0090221895771	0.0023541422922
45.5	0.5	0.0089926997514	0.062884668986
45.5	1.0	0.008773571396	0.091391770507
45.5	1.5	0.0088669869895	0.13820672819
45.5	2.0	0.0090789314546	0.18123713921
45.5	2.5	0.007578583136699999	0.2503483893
45.5	3.0	0.0093902876908	0.30479498088
45.5	3.5	0.0094696748783	0.36527400255000003
45.5	4.0	0.009684003142299998	0.42240887511999997
45.5	4.5	0.009939149174200001	0.47094847367
45.5	5.0	0.010103778059	0.52652010474
45.5	5.5	0.010447430167	0.5741481081600001
45.5	6.0	0.010803407715000001	0.62222740258
45.5	6.5	0.011392256307999999	0.66764299962
45.5	7.0	0.012365979364	0.71324986725
45.5	7.5	0.012559279577	0.7650016153300001
45.5	8.0	0.013513608304	0.80125296786
45.5	8.5	0.014357379242	0.84880480982
45.5	9.0	0.016834410327	0.8716423926100001
45.5	9.5	0.01751277801	0.9220154087200001
45.5	10.0	0.018453524975	0.9665694783
45.5	10.5	0.021040697032	1.0022091882
45.5	11.0	0.023228165594	1.0312120942
45.5	11.5	0.022940662244	1.1002121009
45.5	12.0	0.03215700054	1.0748762984
45.5	12.5	0.043243609242000006	1.0555790887999998
45.5	13.0	0.044469414903	1.121147877
45.5	13.5	0.48852529728999994	2.3067043785
45.5	14.0	0.066756772576	1.1253913985
45.5	14.5	0.13688381833	0.65514900456
45.5	15.0	0.09947571231	0.30042006594
46.0	0.0	0.0090014645485	0.0021897682483000003
46.0	0.5	0.0089499348751	0.063925076997
46.0	1.0	0.008811504097799999	0.092665078203
46.0	1.5	0.009125051180799999	0.13592898107
46.0	2.0	0.0091399147344	0.18981455811999998
46.0	2.5	0.0091378006047	0.23610215681999996
46.0	3.0	0.0095660629134	0.30298287976
46.0	3.5	0.0094250181646	0.36604649969
46.0	4.0	0.0096477370887	0.42492705497
46.0	4.5	0.009864360812100001	0.4688988643
46.0	5.0	0.010165585726	0.51701581591
46.0	5.5	0.010473354767	0.57015652655
46.0	6.0	0.01104314875	0.61119378213
46.0	6.5	0.011378483836999999	0.66589910979
46.0	7.0	0.011915183562	0.73204863882
46.0	7.5	0.012503467348	0.7637393756599999
46.0	8.0	0.013268890682000002	0.81005516171
46.0	8.5	0.01431083512	0.8501082775300001
46.0	9.0	0.015893941470000002	0.89127222121
46.0	9.5	0.017069955452	0.9248713994600001
46.0	10.0	0.017610606081999998	0.9790674961799999
46.0	10.5	0.020266156532	1.0235391168999999
46.0	11.0	0.023955931458999997	1.0319261883
46.0	11.5	0.023750228662	1.08790889
46.0	12.0	0.028539360435	1.1046042822
46.0	12.5	5.7203946799e+20	5.4810643797e+20
46.0	13.0	0.035465436528	1.1701550524
46.0	13.5	0.081612644166	0.17890770558
46.0	14.0	0.15215017022	1.1784879302
46.0	14.5	0.15984570835	0.77545939918
